IndexTime,SleepPhase
0,4
1,3
2,1
3,4
4,1
5,4
6,4
7,4
8,4
9,4
10,4
11,3
12,4
13,3
14,2
15,2
16,1
17,3
18,4
19,2
20,3
21,3
22,3
23,2
24,3
25,2
26,3
27,3
28,4
29,2
30,4
31,2
32,2
33,4
34,4
35,3
36,2
37,2
38,1
39,1
40,2
41,2
42,1
43,4
44,3
45,3
46,3
47,3
48,3
49,1
50,1
51,3
52,1
53,1
54,4
55,3
56,1
57,2
58,4
59,4
60,3
61,2
62,1
63,1
64,3
65,2
66,4
67,1
68,3
69,3
70,1
71,3
72,4
73,1
74,1
75,3
76,2
77,1
78,4
79,1
80,4
81,1
82,4
83,3
84,2
85,3
86,4
87,3
88,4
89,3
90,1
91,1
92,3
93,3
94,3
95,2
96,1
97,2
98,2
99,3
100,2
101,3
102,3
103,1
104,4
105,1
106,2
107,3
108,3
109,2
110,4
111,1
112,4
113,4
114,4
115,3
116,2
117,1
118,3
119,2
120,2
121,2
122,4
123,3
124,3
125,4
126,3
127,1
128,2
129,4
130,4
131,2
132,4
133,2
134,3
135,3
136,1
137,4
138,3
139,4
140,1
141,1
142,4
143,3
144,3
145,2
146,1
147,3
148,1
149,1
150,4
151,3
152,3
153,1
154,4
155,2
156,3
157,4
158,4
159,2
160,1
161,2
162,3
163,4
164,3
165,4
166,1
167,2
168,3
169,1
170,4
171,4
172,1
173,2
174,1
175,3
176,4
177,3
178,1
179,3
180,2
181,1
182,2
183,2
184,1
185,4
186,1
187,2
188,4
189,1
190,4
191,2
192,3
193,4
194,1
195,2
196,2
197,4
198,4
199,1
200,1
201,4
202,1
203,2
204,1
205,2
206,1
207,1
208,3
209,3
210,2
211,2
212,4
213,3
214,1
215,3
216,3
217,2
218,1
219,2
220,1
221,1
222,4
223,1
224,2
225,3
226,1
227,2
228,1
229,3
230,4
231,3
232,2
233,3
234,1
235,2
236,3
237,4
238,1
239,2
240,4
241,1
242,4
243,4
244,3
245,4
246,4
247,2
248,1
249,4
250,4
251,4
252,4
253,2
254,2
255,4
256,4
257,3
258,4
259,3
260,4
261,2
262,3
263,3
264,2
265,3
266,4
267,4
268,2
269,2
270,4
271,2
272,3
273,4
274,4
275,3
276,1
277,2
278,3
279,4
280,1
281,4
282,3
283,2
284,4
285,1
286,3
287,4
288,3
289,4
290,3
291,4
292,2
293,1
294,4
295,4
296,2
297,2
298,1
299,2
300,4
301,1
302,1
303,3
304,3
305,4
306,1
307,3
308,4
309,1
310,1
311,1
312,2
313,1
314,3
315,4
316,2
317,1
318,4
319,1
320,2
321,3
322,4
323,3
324,3
325,4
326,3
327,1
328,4
329,3
330,2
331,4
332,3
333,2
334,3
335,4
336,1
337,4
338,1
339,2
340,3
341,4
342,1
343,3
344,3
345,1
346,4
347,3
348,4
349,3
350,1
351,3
352,1
353,2
354,1
355,1
356,4
357,3
358,1
359,3
360,1
361,1
362,3
363,1
364,2
365,2
366,3
367,4
368,2
369,3
370,3
371,1
372,1
373,2
374,4
375,4
376,4
377,1
378,3
379,3
380,2
381,2
382,4
383,4
384,3
385,4
386,4
387,1
388,1
389,4
390,1
391,4
392,4
393,4
394,1
395,1
396,3
397,3
398,2
399,4
400,4
401,1
402,4
403,2
404,1
405,1
406,1
407,2
408,3
409,4
410,4
411,4
412,2
413,1
414,2
415,4
416,4
417,3
418,4
419,4
420,1
421,3
422,1
423,3
424,2
425,2
426,2
427,1
428,4
429,3
430,1
431,3
432,2
433,3
434,3
435,1
436,3
437,2
438,2
439,1
440,4
441,1
442,4
443,2
444,3
445,2
446,1
447,1
448,2
449,4
450,1
451,1
452,3
453,1
454,2
455,2
456,2
457,3
458,1
459,4
460,4
461,4
462,3
463,3
464,3
465,4
466,2
467,4
468,2
469,3
470,1
471,1
472,2
473,4
474,1
475,2
476,2
477,3
478,4
479,2
480,4
481,2
482,3
483,3
484,1
485,3
486,2
487,1
488,4
489,1
490,3
491,2
492,3
493,4
494,2
495,1
496,1
497,2
498,3
499,2
500,1
501,4
502,2
503,1
504,1
505,1
506,3
507,1
508,2
509,1
510,4
511,2
512,1
513,2
514,4
515,3
516,3
517,3
518,1
519,4
520,3
521,3
522,2
523,3
524,4
525,2
526,3
527,1
528,4
529,1
530,1
531,2
532,1
533,1
534,1
535,4
536,1
537,2
538,4
539,3
540,3
541,2
542,2
543,4
544,1
545,2
546,2
547,2
548,4
549,4
550,4
551,3
552,3
553,3
554,4
555,4
556,2
557,3
558,2
559,4
560,1
561,3
562,1
563,3
564,1
565,1
566,2
567,4
568,1
569,3
570,3
571,4
572,3
573,4
574,3
575,1
576,3
577,3
578,3
579,3
580,2
581,4
582,3
583,3
584,3
585,1
586,1
587,4
588,4
589,3
590,4
591,1
592,3
593,3
594,1
595,4
596,4
597,3
598,4
599,1
600,3
601,4
602,2
603,3
604,3
605,1
606,3
607,3
608,4
609,2
610,1
611,4
612,1
613,3
614,3
615,3
616,3
617,2
618,2
619,2
620,3
621,1
622,4
623,2
624,2
625,2
626,4
627,4
628,3
629,3
630,2
631,2
632,4
633,4
634,4
635,3
636,4
637,1
638,3
639,1
640,4
641,4
642,2
643,4
644,1
645,1
646,3
647,1
648,3
649,3
650,4
651,3
652,1
653,4
654,1
655,4
656,1
657,2
658,4
659,2
660,1
661,4
662,2
663,1
664,4
665,4
666,1
667,2
668,4
669,2
670,3
671,1
672,1
673,1
674,1
675,3
676,3
677,2
678,2
679,2
680,1
681,2
682,2
683,2
684,1
685,3
686,1
687,3
688,2
689,1
690,4
691,3
692,3
693,2
694,4
695,2
696,2
697,3
698,4
699,1
700,2
701,4
702,3
703,2
704,1
705,4
706,3
707,1
708,3
709,4
710,1
711,1
712,4
713,3
714,1
715,4
716,4
717,2
718,2
719,1
720,1
721,3
722,3
723,3
724,1
725,2
726,2
727,1
728,1
729,1
730,4
731,3
732,2
733,3
734,2
735,4
736,3
737,1
738,3
739,1
740,2
741,2
742,2
743,1
744,2
745,2
746,1
747,1
748,3
749,4
750,1
751,3
752,1
753,3
754,2
755,2
756,3
757,4
758,2
759,4
760,4
761,1
762,1
763,4
764,4
765,2
766,2
767,4
768,1
769,1
770,3
771,4
772,1
773,4
774,4
775,3
776,1
777,2
778,2
779,1
780,3
781,4
782,3
783,3
784,4
785,1
786,2
787,1
788,4
789,2
790,3
791,4
792,2
793,3
794,2
795,4
796,4
797,2
798,4
799,2
800,1
801,1
802,3
803,1
804,1
805,3
806,1
807,3
808,4
809,2
810,3
811,4
812,2
813,2
814,1
815,3
816,1
817,1
818,1
819,2
820,4
821,4
822,4
823,3
824,1
825,3
826,1
827,3
828,4
829,3
830,1
831,2
832,3
833,3
834,3
835,4
836,3
837,3
838,4
839,3
